SAMPLE_NAME	OUT_NAME	GCS_PATHS
NA12892_ONT	NA12892_ONT.json	Human_20kb_M2/20191009_2141_1-A10-D10_PAE08002_578b6683/, Human_20kb_M2/Human_20kb_M2/20191009_2141_1-A10-D10_PAE08002_578b6683/, Human_20kb_SL/20191009_2141_2-A11-D11_PAE08122_e0b26de7/, Human_38/20191010_1605_2-E9-H9_PAE07696_c6e8f895/, Human_38/20191010_1728_2-E9-H9_PAE07696_e6c0c1c8/, Human_38/20191011_1452_1-E12-H12_PAE06437_81b63899/, Human_6000rpm/Human_6000rpm/20191010_1748_2-E7-H7_PAE07691_4be90874, Human_6000rpm/Human_6000rpm/20191011_1452_1-E9-H9_PAE07696_a05b2ab3
NA12878_ONT	NA12878_ONT.json	NA12878/AllyPractice/, NA12878/NA12878/, NA12878/SL_30kb/, NA12878/SophiePractice/
SM-HB8DU	Talkowski_ONT_SM-HB8DU.json	Talkowski/SM-HB8DU
SM-HB8DV	Talkowski_ONT_SM-HB8DV.json	Talkowski/SM-HB8DV
SM-HB8DW	Talkowski_ONT_SM-HB8DW.json	Talkowski/SM-HB8DW
SM-J1Y5K	Talkowski_ONT_SM-J1Y5K.json	Talkowski/SM-J1Y5K
SM-J1Y5L	Talkowski_ONT_SM-J1Y5L.json	Talkowski/SM-J1Y5L
SM-J1Y5M	Talkowski_ONT_SM-J1Y5M.json	Talkowski/SM-J1Y5M
SM-J9ECM	Talkowski_ONT_SM-J9ECM.json	Talkowski/SM-J9ECM
SM-J9ECN	Talkowski_ONT_SM-J9ECN.json	Talkowski/SM-J9ECN
SM-J9ECO	Talkowski_ONT_SM-J9ECO.json	Talkowski/SM-J9ECO
SM-J9ECQ	Talkowski_ONT_SM-J9ECQ.json	Talkowski/SM-J9ECQ
SM-JDIDF	Talkowski_ONT_SM-JDIDF.json	Talkowski/SM-JDIDF
